latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-17.28687,32.67739,312.64,1.28,1.12,2024-07-04,0737,Terra,MODIS,64,6.1NRT,299.76,8.64,D
-16.93819,29.66191,328.29,1,1,2024-07-04,0737,Terra,MODIS,83,6.1NRT,299.43,21.78,D
-16.94707,29.66056,318.39,1,1,2024-07-04,0737,Terra,MODIS,64,6.1NRT,298.45,11.87,D
-17.15773,30.83009,312.15,1.05,1.02,2024-07-04,0737,Terra,MODIS,65,6.1NRT,297.17,8.4,D
-17.2125,30.89143,306.83,1.05,1.03,2024-07-04,0737,Terra,MODIS,48,6.1NRT,294.11,4.57,D
-17.21386,30.90136,306.41,1.05,1.03,2024-07-04,0737,Terra,MODIS,45,6.1NRT,295.91,4.49,D
-16.19548,29.37375,314.64,1,1,2024-07-04,0737,Terra,MODIS,49,6.1NRT,300.45,6.38,D
-20.80978,31.86634,307.44,1.26,1.12,2024-07-04,0739,Terra,MODIS,52,6.1NRT,297.03,6.25,D
-17.86385,30.74342,310.92,1.05,1.02,2024-07-04,0739,Terra,MODIS,63,6.1NRT,296.29,7.08,D
-17.8652,30.75318,306.94,1.05,1.03,2024-07-04,0739,Terra,MODIS,43,6.1NRT,296.48,4.08,D
-18.21069,32.57209,326.7,1.29,1.13,2024-07-04,0739,Terra,MODIS,83,6.1NRT,297.19,31.23,D
-18.21231,32.58456,322.81,1.29,1.13,2024-07-04,0739,Terra,MODIS,80,6.1NRT,297.75,25.07,D
-18.21141,32.57872,327.94,1.29,1.13,2024-07-04,0739,Terra,MODIS,84,6.1NRT,298.06,32.43,D
-18.22144,32.57732,325.44,1.29,1.13,2024-07-04,0739,Terra,MODIS,82,6.1NRT,297.92,27.79,D
-18.16921,31.56444,305.88,1.14,1.06,2024-07-04,0739,Terra,MODIS,49,6.1NRT,294.68,4.07,D
-18.08461,30.61277,308.76,1.05,1.02,2024-07-04,0739,Terra,MODIS,58,6.1NRT,297.38,5.54,D
-18.08594,30.6225,310.06,1.05,1.02,2024-07-04,0739,Terra,MODIS,61,6.1NRT,297.8,6.36,D
-19.19496,32.79293,318.48,1.37,1.16,2024-07-04,0739,Terra,MODIS,76,6.1NRT,299.73,21.05,D
-18.37426,26.4854,309.05,1.19,1.08,2024-07-04,0739,Terra,MODIS,52,6.1NRT,297.02,6.08,D
-19.4922,32.80676,304.39,1.39,1.17,2024-07-04,0739,Terra,MODIS,35,6.1NRT,293.19,9.71,D
-19.42518,30.60438,309.17,1.07,1.03,2024-07-04,0739,Terra,MODIS,55,6.1NRT,297.43,6.24,D
-19.55868,29.56669,308.17,1.01,1,2024-07-04,0739,Terra,MODIS,55,6.1NRT,297.69,4.31,D
-19.56001,29.57615,308.83,1.01,1.01,2024-07-04,0739,Terra,MODIS,52,6.1NRT,297.5,4.58,D
-20.11055,29.24143,313.93,1,1,2024-07-04,0739,Terra,MODIS,68,6.1NRT,297.69,8.86,D
-21.06447,31.46769,313.37,1.21,1.09,2024-07-04,0739,Terra,MODIS,67,6.1NRT,296.47,12.03,D
-21.06594,31.47919,326.26,1.21,1.09,2024-07-04,0739,Terra,MODIS,82,6.1NRT,296.42,28.27,D
-21.11461,31.78231,313.1,1.26,1.11,2024-07-04,0739,Terra,MODIS,29,6.1NRT,296.35,10.53,D
-21.11613,31.79429,314.29,1.26,1.12,2024-07-04,0739,Terra,MODIS,42,6.1NRT,295.64,11.4,D
-21.12455,31.78094,317.17,1.26,1.11,2024-07-04,0739,Terra,MODIS,73,6.1NRT,296.36,15.81,D
